Batting Style,Playing Role,Innings_T20_batting,Innings_Test_batting,NO_T20,NO_Test,Runs_T20_batting,Runs_Test_batting,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_T20,SR_T20_batting,100_T20,100_Test,50_T20,50_Test,0_T20,0_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,AgeStart_Test,AgeStart_T20
1,1,72,178,16,12,1671,6042,90,167,42.97,29.83,36.39,1215,137.53,0,12,10,26,6,17,80,100,8,2012,2011,22.84109589,21.84109589
1,1,5,35,0,1,56,772,31,92,29.05,11.2,22.7,67,83.58,0,0,0,4,0,4,5,19,7,2006,2007,25.19452055,26.19452055
1,1,17,22,0,0,463,548,59,83,28.0,27.23,24.9,361,128.25,0,0,2,3,0,2,17,13,8,2016,2015,25.37534247,24.37534247
1,0,44,119,14,18,491,2952,38,202,24.85,16.36,29.22,380,129.21,0,3,0,13,7,10,63,67,5,2014,2014,22.73150685,22.73150685
0,0,75,80,25,10,1934,2133,96,166,36.81,38.68,18.925,1532,126.24,0,6,11,8,6,10,81,46,6,2008,2007,24.290410960000003,23.290410960000003
1,0,18,2,7,0,159,45,41,23,34.4,14.45,22.5,138,115.21,0,0,0,0,0,0,24,1,3,2013,2012,23.24931507,22.24931507
1,1,5,12,2,3,37,226,14,48,13.66,12.33,25.11,32,115.62,0,0,0,0,0,1,5,7,8,2001,2009,21.28767123,29.28767123
1,0,6,2,2,0,46,52,15,32,27.1,11.5,26.0,37,124.32,0,0,0,0,0,0,9,1,3,2012,2010,26.734246579999997,24.734246579999997
1,1,3,14,0,1,31,347,18,48,22.5,10.33,26.69,23,134.78,0,0,0,0,0,2,3,7,11,2010,2010,23.630136989999997,23.630136989999997
1,1,2,6,0,0,6,113,6,62,23.84,3.0,18.83,7,85.71,0,0,0,1,1,0,3,3,2,2018,2012,26.57260274,20.57260274
0,1,7,37,0,0,159,969,71,106,23.0,22.71,26.18,108,147.22,0,1,1,7,1,2,7,19,11,2008,2007,20.747945209999997,19.747945209999997
0,1,3,16,0,2,40,370,38,103,15.0,13.33,26.42,34,117.64,0,1,0,1,0,1,3,10,1,2013,2014,22.421917809999997,23.421917809999997
0,0,49,6,5,0,1075,88,80,29,43.59,24.43,14.66,851,126.32,0,0,5,0,5,0,49,3,1,2021,2021,24.08219178,24.08219178
1,0,103,6,10,1,1973,258,124,118,29.42,21.21,51.6,1507,130.92,1,1,5,1,12,0,110,3,4,2018,2008,34.40273973,24.40273973
1,1,68,86,8,2,2265,2863,110,199,50.35,37.75,34.08,1628,139.12,2,8,22,14,5,7,72,50,10,2014,2016,22.279452050000003,24.279452050000003
0,0,7,6,3,0,46,90,16,35,19.03,11.5,15.0,40,115.0,0,0,0,0,0,1,8,3,0,2005,2006,24.95068493,25.95068493
1,0,16,6,7,0,187,96,29,47,21.33,20.77,16.0,166,112.65,0,0,0,0,2,1,23,3,5,2018,2018,20.43561644,20.43561644
1,0,1,4,1,1,6,72,6,31,13.25,0.0,24.0,6,100.0,0,0,0,0,0,0,2,2,0,2013,2012,25.47123288,24.47123288
0,1,1,83,0,1,12,2113,12,134,22.84,12.0,25.76,14,85.71,0,3,0,7,0,8,1,44,5,2011,2014,21.397260269999997,24.397260269999997
0,0,37,32,2,3,762,949,73,210,25.38,21.77,32.72,551,138.29,0,2,3,2,1,5,38,18,5,2021,2020,28.89041096,27.89041096
1,0,2,5,0,1,11,94,11,28,14.0,5.5,23.5,13,84.61,0,0,0,0,1,0,2,4,1,2003,2012,21.19178082,30.19178082
1,1,90,176,13,17,2575,8743,95,251,48.64,33.44,54.98,2092,123.08,0,32,18,34,4,11,93,100,7,2010,2011,19.97534247,20.97534247
1,1,53,92,6,6,987,2648,73,158,26.09,21.0,30.79,825,119.63,0,6,5,12,7,14,58,53,9,2002,2006,20.54246575,24.54246575
1,0,47,4,8,1,637,95,56,41,10.66,16.33,31.66,547,116.45,0,0,3,0,4,0,66,2,2,2023,2016,24.96712329,17.96712329
1,1,3,30,0,1,11,817,10,146,33.71,3.66,28.17,27,40.74,0,1,0,7,1,3,3,16,9,2009,2016,23.134246580000003,30.134246580000003
1,1,9,40,0,1,174,1332,42,224,27.11,19.33,34.15,174,100.0,0,3,0,9,1,4,9,23,7,2001,2006,22.71506849,27.71506849
1,0,5,6,1,2,57,84,34,66,12.6,14.25,21.0,36,158.33,0,0,0,1,0,3,11,3,8,2016,2016,26.410958899999997,26.410958899999997
1,1,61,142,7,15,1062,5479,66,206,31.85,19.66,43.14,1025,103.6,0,15,6,26,0,6,68,79,1,2011,2010,21.695890409999997,20.695890409999997
1,1,70,12,8,1,1317,480,94,108,22.72,21.24,43.63,1068,123.31,0,1,9,2,7,1,74,6,4,2023,2016,26.88493151,19.88493151
