Batting Style,Playing Role,Innings_ODI_batting,Innings_Test_batting,NO_ODI,NO_Test,Runs_ODI_batting,Runs_Test_batting,HS_ODI,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,SR_ODI_batting,100_ODI,100_Test,50_ODI,50_Test,0_ODI,0_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,AgeStart_ODI,AgeStart_Test
1,0,21,2,11,0,271,52,51,32,27.1,11.5,26.0,273,99.26,0,0,1,0,1,0,29,1,7,2010,2012,24.734246579999997,26.734246579999997
1,1,13,14,1,1,270,347,53,48,22.5,10.33,26.69,371,72.77,0,0,1,0,2,2,14,7,0,2010,2010,23.630136989999997,23.630136989999997
1,1,44,6,0,0,1049,113,81,62,23.84,3.0,18.83,1380,76.01,0,0,7,1,2,0,47,3,4,2010,2018,18.57260274,26.57260274
0,1,53,37,1,0,1196,969,100,106,23.0,22.71,26.18,1753,68.22,1,1,6,7,6,2,54,19,0,2007,2008,19.747945209999997,20.747945209999997
0,1,6,16,1,2,75,370,27,103,15.0,13.33,26.42,90,83.33,0,1,0,1,0,1,6,10,2,2013,2013,22.421917809999997,22.421917809999997
0,0,52,6,8,0,1918,88,110,29,43.59,24.43,14.66,2136,89.79,3,0,12,0,3,0,59,3,2,2021,2021,24.08219178,24.08219178
1,0,141,6,18,1,3619,258,142,118,29.42,21.21,51.6,4076,88.78,2,1,18,1,6,0,153,3,1,2006,2018,22.40273973,34.40273973
1,1,70,86,14,2,2820,2863,112,199,50.35,37.75,34.08,3211,87.82,7,8,18,14,2,7,75,50,8,2016,2014,24.279452050000003,22.279452050000003
0,0,34,6,7,0,514,90,45,35,19.03,11.5,15.0,851,60.39,0,0,0,0,4,1,37,3,3,2005,2005,24.95068493,24.95068493
1,0,22,6,7,0,320,96,46,47,21.33,20.77,16.0,330,96.96,0,0,0,0,2,1,30,3,11,2018,2018,20.43561644,20.43561644
1,0,8,4,0,1,106,72,53,31,13.25,0.0,24.0,183,57.92,0,0,1,0,2,0,11,2,3,2006,2013,18.47123288,25.47123288
0,1,44,83,0,1,1005,2113,83,134,22.84,12.0,25.76,1278,78.63,0,3,9,7,4,8,46,44,11,2009,2011,19.397260269999997,21.397260269999997
0,0,26,32,0,3,660,949,120,210,25.38,21.77,32.72,775,85.16,2,2,2,2,3,5,28,18,11,2021,2021,28.89041096,28.89041096
1,0,18,5,3,1,210,94,69,28,14.0,5.5,23.5,262,80.15,0,0,1,0,2,0,21,4,2,2003,2003,21.19178082,21.19178082
1,1,157,176,17,17,6810,8743,148,251,48.64,33.44,54.98,8368,81.38,13,32,45,34,5,11,165,100,5,2010,2010,19.97534247,19.97534247
