,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
60,LM Jongwe (ZIM),https://www.espncricinfo.com/ci/content/player/541224.html,2015-2024,65,57,170,0,1469,66,4/18,22.25,8.64,15.4,1,0,"February 06, 1995, Harare",29y 174d,Right hand Bat,Right arm Fast medium,Allrounder
61,KMDN Kulasekara (SL),https://www.espncricinfo.com/ci/content/player/49535.html,2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0,"July 22, 1982, Nittambuwa",42y 7d,Right hand Bat,Right arm Fast medium,Bowler
62,BAW Mendis (SL),https://www.espncricinfo.com/ci/content/player/268739.html,2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2,"March 11, 1985, Moratuwa",39y 140d,Right hand Bat,Right arm Offbreak,Bowler
63,B Muzarabani (ZIM),https://www.espncricinfo.com/ci/content/player/827051.html,2018-2024,56,55,202.4,5,1465,66,3/14,22.19,7.22,18.4,0,0,"October 02, 1996, Harare",27y 301d,Right hand Bat,Right arm Fast medium,Bowler
64,Pavandeep Singh (MAS),https://www.espncricinfo.com/ci/content/player/633641.html,2019-2024,55,55,203,5,1172,66,3/12,17.75,5.77,18.4,0,0,17-Jan-98,26y 194d,Right hand Bat,Slow Left arm Orthodox,Bowler
65,Sikandar Raza (ZIM),https://www.espncricinfo.com/ci/content/player/299572.html,2013-2024,91,80,227.2,2,1623,66,4/8,24.59,7.13,20.6,2,0,"April 24, 1986, Sialkot, Punjab, Pakistan",38y 96d,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
66,N Vanua (PNG),https://www.espncricinfo.com/ci/content/player/524253.html,2015-2024,58,53,173.4,4,1255,66,5/17,19.01,7.22,15.7,2,1,"December 02, 1993, Port Moresby",30y 240d,Right hand Bat,Right arm Medium,Bowler
67,Virandeep Singh (MAS),https://www.espncricinfo.com/ci/content/player/633660.html,2019-2024,78,57,156.1,5,861,66,4/8,13.04,5.51,14.1,2,0,23-Mar-99,25y 128d,Right hand Bat,Slow Left arm Orthodox,Allrounder
68,Bilal Hassun (UGA),https://www.espncricinfo.com/ci/content/player/1151338.html,2021-2024,46,44,140.4,6,910,65,4/17,14,6.46,12.9,3,0,"April 15, 1990, Mandi Bahauddin, Punjab, Pakistan",34y 105d,Right hand Bat,Right arm Medium fast,Bowler
69,SCJ Broad (ENG),https://www.espncricinfo.com/ci/content/player/10617.html,2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18,1,0,"June 24, 1986, Nottingham",38y 35d,Left hand Bat,Right arm Fast medium,Bowler
