Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
Gurdeep Singh (KENYA),https://www.espncricinfo.com/ci/content/player/637496.html,2013-2013,1,1,0,1,1,1,23,4.34,0,0,0,"January 19, 1998, Nairobi",26y 192d,Left hand Bat,Legbreak,Opening Batter,
KJ Harding (WI),https://www.espncricinfo.com/ci/content/player/906755.html,2021-2021,1,1,1,1,1*,-,1,100,0,0,0,1-Nov-96,27y 271d,Right hand Bat,Right arm Fast medium,Bowler,
Iqbal Sikander (PAK),https://www.espncricinfo.com/ci/content/player/40574.html,1992-1992,4,1,1,1,1*,-,3,33.33,0,0,0,"December 19, 1958, Karachi, Sind",65y 223d,Right hand Bat,Legbreak Googly,Allrounder,
SA Jayasinghe (SL),https://www.espncricinfo.com/ci/content/player/49207.html,1979-1979,2,1,0,1,1,1,3,33.33,0,0,0,"July 15, 1955, Matugama",,Right hand Bat,,Wicketkeeper Batter,
SP Jones (ENG),https://www.espncricinfo.com/ci/content/player/15555.html,2004-2005,8,1,0,1,1,1,2,50,0,0,0,"December 25, 1978, Morriston, Swansea, Glamorgan",45y 217d,Left hand Bat,Right arm Fast medium,,6ft 3in
S Kaul (IND),https://www.espncricinfo.com/ci/content/player/326017.html,2018-2018,3,2,0,1,1,0.5,3,33.33,0,0,1,"May 19, 1990, Pathankot, Punjab",34y 71d,Right hand Bat,Right arm Medium,Bowler,
B Laughlin (AUS),https://www.espncricinfo.com/ci/content/player/315623.html,2009-2009,5,1,1,1,1*,-,9,11.11,0,0,0,"October 03, 1982, Box Hill, Victoria",41y 300d,Right hand Bat,Right arm Fast medium,Bowler,
SCG MacGill (AUS),https://www.espncricinfo.com/ci/content/player/6441.html,2000-2000,3,2,1,1,1,1,3,33.33,0,0,0,"February 25, 1971, Mount Lawley, Perth, Western Australia",53y 155d,Right hand Bat,Legbreak Googly,Bowler,1.83 m
K Mahato (NEP),https://www.espncricinfo.com/ci/content/player/1090591.html,2022-2023,2,2,2,1,1*,-,10,10,0,0,0,2-Apr-00,24y 118d,Right hand Bat,Right arm Medium fast,,
Mahmood Hamid (PAK),https://www.espncricinfo.com/ci/content/player/41259.html,1995-1995,1,1,0,1,1,1,6,16.66,0,0,0,"January 19, 1969, Karachi, Sind",55y 192d,Right hand Bat,Right arm Medium,Allrounder,
GJ McCarter (IRE),https://www.espncricinfo.com/ci/content/player/348037.html,2014-2014,1,1,1,1,1*,-,1,100,0,0,0,"October 10, 1992, Londonderry, Northern Ireland",31y 293d,Right hand Bat,Right arm Medium,Bowler,
